State,Start_Year,End_Year,N_Years,Trend,H,p_value,z_value,tau,s_statistic,sen_slope_mm_per_year,sen_intercept
Benue,2005,2025,21,no trend,0,0.927817769226368,-0.0905907662518161,-0.01904761904761905,-4.0,-1.9904166666666592,1051.2441666666666
Kwara,2005,2025,21,increasing,1,0.049669425323142224,1.9627999354560155,0.3142857142857143,66.0,16.68416666666666,1092.9783333333335
Niger,2005,2025,21,increasing,1,0.049669425323142224,1.9627999354560155,0.3142857142857143,66.0,28.204730769230768,927.8726923076924
